symbol,strategy,params,sharpe,return,max_dd,total_trades,final_equity
SPY,RSIStrategy,RSI(14/35/70),0.33246425813254055,0.06349650796790318,0.3280691029674749,26,137997.11667285635
SPY,RSIStrategy,RSI(14/35/70),0.5187099275525665,0.10912436476943299,0.3280691029674749,26,165301.405584248
SPY,RSIStrategy,RSI(14/35/70),0.34253844753439555,0.05982072599160159,0.3280691029674749,23,135797.48206164094
SPY,RSIStrategy,RSI(14/35/70),0.30819393806465867,0.054204907377772255,0.3280691029674749,23,132436.9048911431
SPY,RSIStrategy,RSI(14/35/70),0.45493067063913356,0.08744448871378593,0.3280691029674749,23,152327.8924525354
SPY,RSIStrategy,RSI(14/35/75),0.47489816654696015,0.08626428201612074,0.3280691029674749,25,151621.64177790083
SPY,RSIStrategy,RSI(14/35/75),0.33246425813254055,0.06349650796790318,0.3280691029674749,25,137997.11667285635
SPY,RSIStrategy,RSI(14/35/75),0.5187099275525665,0.10912436476943299,0.3280691029674749,25,165301.405584248
SPY,RSIStrategy,RSI(14/35/75),0.34253844753439555,0.05982072599160159,0.3280691029674749,22,135797.48206164094
SPY,RSIStrategy,RSI(14/35/75),0.30819393806465867,0.054204907377772255,0.3280691029674749,22,132436.9048911431
SPY,RSIStrategy,RSI(14/35/75),0.45493067063913356,0.08744448871378593,0.3280691029674749,22,152327.8924525354
SPY,RSIStrategy,RSI(14/40/70),0.4606321032234816,0.08416120519469752,0.38831820410173773,34,150363.13390222375
SPY,RSIStrategy,RSI(14/40/70),0.006256905178755934,0.0011789123243317642,0.38831820410173773,32,100705.47610519535
SPY,RSIStrategy,RSI(14/40/70),0.12062403957678067,0.0246306395773228,0.38831820410173773,32,114739.28749309634
SPY,RSIStrategy,RSI(14/40/70),0.3810901719679486,0.06556099910347107,0.4039505898478048,30,139232.53438414063
SPY,RSIStrategy,RSI(14/40/70),0.13979796352199209,0.02506655433170094,0.4039505898478048,29,115000.14441754167
SPY,RSIStrategy,RSI(14/40/70),0.1983280930738883,0.03695097318830911,0.4039505898478048,29,122111.93157459133
SPY,RSIStrategy,RSI(14/40/75),0.5637548912657604,0.1047711559941061,0.38831820410173773,33,162696.3901742508
SPY,RSIStrategy,RSI(14/40/75),0.09722386554694769,0.01879714557619592,0.38831820410173773,31,111248.45060670772
SPY,RSIStrategy,RSI(14/40/75),0.23639598103812096,0.049963829098406284,0.38831820410173773,31,129898.98979380821
SPY,RSIStrategy,RSI(14/40/75),0.3810901719679486,0.06556099910347107,0.4039505898478048,28,139232.53438414063
SPY,RSIStrategy,RSI(14/40/75),0.13979796352199209,0.02506655433170094,0.4039505898478048,27,115000.14441754167
SPY,RSIStrategy,RSI(14/40/75),0.1983280930738883,0.03695097318830911,0.4039505898478048,27,122111.93157459133
SPY,MACrossoverStrategy,MA(5/15),1.0658601055343269,0.19406351339795797,0.12895215630107143,41,216130.07071592085
SPY,MACrossoverStrategy,MA(5/15),1.243516799280705,0.2796412187956444,0.15895626171238336,41,267340.85632691736
SPY,MACrossoverStrategy,MA(5/15),0.713386298370273,0.13539714627572733,0.2035177930341228,41,181023.37166023682
SPY,MACrossoverStrategy,MA(5/15),0.8171212799390899,0.18986006375940118,0.25042882995657306,41,213614.67307507023
SPY,MACrossoverStrategy,MA(10/20),0.9614343852355671,0.16848282242883697,0.18817387694017768,22,200822.26040582784
SPY,MACrossoverStrategy,MA(10/20),0.6869991920986992,0.11766215983776368,0.18817387694017762,22,170410.5305695824
SPY,MACrossoverStrategy,MA(10/20),0.859492586360497,0.15431818298328454,0.212206480136978,22,192345.96029317187
SPY,MACrossoverStrategy,MA(10/20),0.7649379154968335,0.14808468385008003,0.21220648013697818,22,188615.75525631773
SPY,MACrossoverStrategy,MA(10/30),0.8361846259771046,0.1334168177026059,0.14540359145388077,18,179838.31789505147
SPY,MACrossoverStrategy,MA(10/30),0.7065968858503632,0.12012893013502772,0.1454035914538807,18,171886.67723953247
SPY,MACrossoverStrategy,MA(10/30),0.8184953224784701,0.13190582627975717,0.1545459695867103,18,178934.1214404261
SPY,MACrossoverStrategy,MA(10/30),0.7553676094863939,0.1293018847041697,0.15454596958671038,18,177375.8897356698
